Message_ID,Sender_ID,Date,Message_Text
28800,6652139576,2024-11-28 06:15:51+00:00,Be careful of how you speak. Things have a way to come back around.
28799,6566123608,2024-11-27 16:55:27+00:00,Hope everyone’s been doing well
28798,6566123608,2024-11-27 16:55:17+00:00,Hello everyone! I’m so sorry I suddenly disappeared there was a lot going on
28797,6404397969,2024-11-27 06:17:38+00:00,That whole family is filled with fakes
28796,6404397969,2024-11-27 06:16:56+00:00,I call bs on Matthew’s self defense thing
28795,7000718430,2024-11-27 01:28:09+00:00,@Magerne2033
28794,7000718430,2024-11-27 01:28:00+00:00,"How
Long are you gonna be in jail"
28793,6652139576,2024-11-26 13:35:55+00:00,Yes
28792,6075848860,2024-11-25 22:52:12+00:00,Terrible
28791,2134664859,2024-11-25 16:01:21+00:00,SKPO 👀  breaks. 01 & can get naughty 😜
28790,6652139576,2024-11-25 12:36:36+00:00,I’m going to just take the plea deal and hope that they give me my first offenders
28789,6652139576,2024-11-25 12:36:23+00:00,I can’t
28788,6075848860,2024-11-25 12:35:47+00:00,"Matthew, you need an attorney"
28787,7000718430,2024-11-24 18:41:10+00:00,Sorry
28786,730908375,2024-11-24 18:39:38+00:00,Sorry to hear that
28785,6652139576,2024-11-24 06:48:07+00:00,"The police falsified a lot of information in the report, didn’t read me my rights, and told me I was just getting charged for battery (family violence) it was entire self defense at that I end up getting arrested get to the jail they tell me I’m also getting charged with cruelty to children in the first degree (felony charge carrying a 5-20 year sentence)"
28784,6652139576,2024-11-24 06:46:07+00:00,"I got into a fight with my brother in law (14)…. We got into an argument about me always “lecturing” him to respect his mom and what not. We were arguing I decide to try and divert the situation as it was starting to escalate I went in to give him a hug (I figured it would show compassion or what not) he tackled me when he did that I guess his head hit the ground and he got like a cut or scratch on his forehead I wrapped my arms around him to prevent him from hitting me, let him go once he seemed to have calmed down (entire time I had him held down I’m calling for his sister my fiancé and I believe I called for his mom too) when I let go of him he ran upstairs to get a shotgun I went to try and tell his mom and sister what just happened"
28783,7000718430,2024-11-24 00:17:22+00:00,Bro what did this guy do
28782,6075848860,2024-11-24 00:17:08+00:00,MATTHEW
28781,6075848860,2024-11-23 14:48:35+00:00,Tf did you do?
28780,6075848860,2024-11-23 14:47:51+00:00,Welcome back
28779,6652139576,2024-11-23 14:18:01+00:00,Just got out of jail
28778,6404397969,2024-11-15 04:30:44+00:00,You got any insider info?
28777,6075848860,2024-11-14 18:21:09+00:00,Damn. Guess not.
28776,6075848860,2024-11-11 22:07:46+00:00,"Matthew, you Alice? Miles, you alive?"
28775,6075848860,2024-11-11 22:07:31+00:00,This group is dead ☠️
28774,2134664859,2024-10-29 18:55:16+00:00,
28773,2134664859,2024-10-29 11:44:53+00:00,FEMY 👁  $1.33
28772,2134664859,2024-10-23 16:41:55+00:00,APTY info on their coin backed by ***gold***  https://www.sperastablecoin.com/
28771,7000718430,2024-10-22 18:58:17+00:00,No thanks
28768,7000718430,2024-10-19 22:29:38+00:00,I made one😂
28767,7000718430,2024-10-19 22:29:35+00:00,Anyone tryna join my discord
28766,6652139576,2024-10-19 01:51:01+00:00,Thank you broski
28765,7000718430,2024-10-19 01:34:01+00:00,I came out of penny stock retirement
28764,7000718430,2024-10-19 01:33:53+00:00,I think next week it may hit 3$
28763,7000718430,2024-10-19 01:33:34+00:00,Idk tho
28762,7000718430,2024-10-19 01:33:31+00:00,$vtak
28761,730908375,2024-10-19 01:32:59+00:00,Let's see
28760,7000718430,2024-10-19 01:32:34+00:00,I got sum other shi that gon run or not idk
28759,7000718430,2024-10-19 01:32:10+00:00,Happy birthday Matthew
28758,730908375,2024-10-16 23:02:53+00:00,Lol me too
28757,6075848860,2024-10-16 22:00:57+00:00,Me lol
28756,6404397969,2024-10-16 12:55:46+00:00,I’m not sure when I should sell out
28755,6404397969,2024-10-16 11:58:55+00:00,$BJDX is what I got rn
28754,6404397969,2024-10-16 11:58:28+00:00,I did
28753,730908375,2024-10-15 21:27:06+00:00,Man who missed $DRUG?!
28752,1110306005,2024-10-15 21:17:26+00:00,War supposed to be hot but seems to be lacking the hype already
28751,1110306005,2024-10-15 21:16:13+00:00,Good choice
28750,6075848860,2024-10-15 21:15:36+00:00,"I wish. I didn’t hop in. I haven’t traded in like 2 months, maybe more at this point"
28749,1110306005,2024-10-15 21:13:03+00:00,haha Amanda’s the oracle of the Matrix
28748,6075848860,2024-10-15 21:12:25+00:00,Not I
28747,1110306005,2024-10-15 21:11:34+00:00,Who could predict which ticker would go up 1500% in a day!
28745,1110306005,2024-10-15 20:31:24+00:00,Got on TVGN strangely it’s going down on pipeline news. Pumping back up now
28744,6075848860,2024-10-15 20:30:43+00:00,Who got in the the DRUG banger today?
28743,6404397969,2024-10-15 11:32:34+00:00,I’ll take it
28742,5480258974,2024-10-15 10:30:00+00:00,**$BJDX**** take some from here 👍👍**
28741,2134664859,2024-10-15 09:46:20+00:00,Looking for this week
28740,6404397969,2024-10-14 01:18:01+00:00,Move for Monday?
28739,2134664859,2024-10-11 06:38:53+00:00,That's GPLS
28738,730908375,2024-10-11 04:19:02+00:00,Oil stock
28737,2134664859,2024-10-11 03:44:52+00:00,
28736,730908375,2024-10-11 03:02:02+00:00,Interesting
28735,2134664859,2024-10-11 03:00:56+00:00,"I think GPLS is going to 💥 .044 -Float 12.7 million. GPLS merger announcement coming this month as per Josh Cohen. CEO’s other company going public on NASDAQ tomorrow. 

https://www.linkedin.com/in/marcus-laun-361225?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app

https://www.myipo.com/offers/skyquarry#:~:text=Sky%20Quarry%20is%20expected%20to,under%20the%20symbol%20%22SKYQ%22"
28734,730908375,2024-10-10 17:40:53+00:00,Oh boy
28733,6661760423,2024-10-10 06:28:42+00:00,Hiw many Maryams are there lol
28732,730908375,2024-10-09 23:17:24+00:00,Spammers??
28731,6652139576,2024-10-09 23:16:41+00:00,Wtf
28730,6404397969,2024-10-09 23:07:17+00:00,Where did these guys come from?
28729,6404397969,2024-10-09 23:06:49+00:00,Holy tits
28728,6531274659,2024-10-09 08:43:41+00:00,
28727,6029504686,2024-10-09 08:43:41+00:00,
28726,5480258974,2024-10-09 08:43:40+00:00,
28725,6022635472,2024-10-09 08:43:40+00:00,
28724,6412624459,2024-10-09 08:43:39+00:00,
28723,6343204497,2024-10-09 08:43:39+00:00,
28722,5809717048,2024-10-09 08:35:52+00:00,
28721,5745219613,2024-10-09 08:35:52+00:00,
28720,6262106165,2024-10-09 08:35:52+00:00,
28719,5156654816,2024-10-09 08:35:52+00:00,
28718,6372182734,2024-10-09 08:35:50+00:00,
28717,6037331816,2024-10-09 08:35:50+00:00,
28716,6350629760,2024-10-09 08:35:50+00:00,
28715,5740346893,2024-10-09 08:35:50+00:00,
28714,6270606199,2024-10-09 08:35:50+00:00,
28713,6000610370,2024-10-09 08:35:50+00:00,
28712,5274093030,2024-10-09 08:35:50+00:00,
28711,6690794768,2024-10-09 08:35:50+00:00,
28710,6042714493,2024-10-09 08:35:50+00:00,
28709,6389781307,2024-10-09 08:35:49+00:00,
28708,6335846968,2024-10-09 08:35:49+00:00,
28707,6572102331,2024-10-09 08:35:49+00:00,
28706,6077853285,2024-10-09 08:35:49+00:00,
28705,6397072519,2024-10-09 08:35:49+00:00,
28704,5679143629,2024-10-09 08:35:49+00:00,
28703,5986824227,2024-10-09 08:35:49+00:00,
28702,5970555396,2024-10-09 08:35:49+00:00,
28701,6128166132,2024-10-09 08:35:49+00:00,
28700,5843943022,2024-10-09 08:35:49+00:00,
28699,5857199273,2024-10-09 08:35:49+00:00,
28698,5854959724,2024-10-09 08:35:49+00:00,
28697,6126354583,2024-10-09 08:35:49+00:00,
28696,6615937132,2024-10-09 08:35:49+00:00,
28695,6196710671,2024-10-09 08:35:49+00:00,
28694,6338586146,2024-10-09 08:35:49+00:00,
28693,6342072755,2024-10-09 08:35:49+00:00,
28692,6067970523,2024-10-09 08:35:49+00:00,
28691,6544897186,2024-10-09 08:35:49+00:00,
28690,6047174758,2024-10-09 08:35:49+00:00,
28689,6280029605,2024-10-09 08:35:49+00:00,
28688,6041682811,2024-10-09 08:35:48+00:00,
28687,6347349974,2024-10-09 08:35:48+00:00,
28686,6312057810,2024-10-09 08:35:48+00:00,
28685,6695364957,2024-10-09 08:35:48+00:00,
28684,6393710147,2024-10-09 08:35:48+00:00,
28683,6419126473,2024-10-09 08:35:48+00:00,
28682,6057662169,2024-10-09 08:35:48+00:00,
28681,6451691249,2024-10-09 08:35:48+00:00,
28680,6472209853,2024-10-09 08:35:48+00:00,
28679,6205406890,2024-10-09 08:35:48+00:00,
28678,6345291822,2024-10-09 08:35:48+00:00,
28677,6593799612,2024-10-09 08:35:48+00:00,
28676,6508709579,2024-10-09 08:35:48+00:00,
28675,6535249761,2024-10-09 08:35:48+00:00,
28674,6314250770,2024-10-09 08:35:48+00:00,
28673,6373962989,2024-10-09 08:35:48+00:00,
28672,6421207027,2024-10-09 08:35:47+00:00,
28671,6395831362,2024-10-09 08:35:47+00:00,
28670,6615484203,2024-10-09 08:35:46+00:00,
28669,6472450454,2024-10-09 08:35:46+00:00,
28668,6471892941,2024-10-09 08:35:46+00:00,
28667,6407565064,2024-10-09 08:35:46+00:00,
28666,5959802914,2024-10-09 08:35:45+00:00,
28665,6425827945,2024-10-09 08:35:45+00:00,
28664,6342584393,2024-10-09 08:35:45+00:00,
28663,6302581419,2024-10-09 08:35:44+00:00,
28662,6334534580,2024-10-09 08:35:42+00:00,
28661,6507691731,2024-10-09 08:35:40+00:00,
28660,5948405298,2024-10-09 08:35:40+00:00,
28659,6511986165,2024-10-09 08:35:40+00:00,
28658,6395488802,2024-10-09 08:35:40+00:00,
28657,6346700355,2024-10-09 08:35:39+00:00,
28656,6594789045,2024-10-09 08:35:39+00:00,
28655,5837991032,2024-10-09 08:35:39+00:00,
28654,6600493915,2024-10-09 08:35:39+00:00,
28653,6315044593,2024-10-09 08:35:39+00:00,
28650,6652139576,2024-10-06 23:57:58+00:00,We had a hurricane
28648,1110306005,2024-09-27 15:17:37+00:00,I’m in BMEA
28647,1110306005,2024-09-27 15:17:08+00:00,Wow 😯
28638,2134664859,2024-09-25 21:54:34+00:00,Nice JA
28636,730908375,2024-09-24 17:36:41+00:00,Any possible catalyst?
28633,1110306005,2024-09-20 14:43:17+00:00,
28632,1110306005,2024-09-20 11:33:34+00:00,
28631,1110306005,2024-09-19 08:28:40+00:00,Now at 0.20
28630,6404397969,2024-09-19 03:17:43+00:00,Idk what my friend was on about
28629,6404397969,2024-09-19 03:17:31+00:00,Facts
28628,1110306005,2024-09-19 00:06:01+00:00,Ask at 0.1651 sounds good I guess
28627,1110306005,2024-09-19 00:05:37+00:00,
28626,730908375,2024-09-18 23:49:07+00:00,Needs to bounce from these levels...imho
28625,730908375,2024-09-18 23:46:27+00:00,$MLGO .205 in AH?
28623,6404397969,2024-09-18 13:33:16+00:00,Look what’s happening to MLGO
28622,6404397969,2024-09-18 13:33:05+00:00,Guys
28621,2134664859,2024-09-18 06:17:38+00:00,https://x.com/premiergraphene/status/1836046285511549071?s=61&t=mldEHibs9002tiPYJzBuMg
28620,6404397969,2024-09-18 00:16:37+00:00,"MLGO, I’d go ahead and buy"
28619,6404397969,2024-09-18 00:16:08+00:00,Anyways
28618,6404397969,2024-09-18 00:15:17+00:00,Cops were on my ass
28617,6404397969,2024-09-18 00:15:07+00:00,I’m back
28616,6404397969,2024-09-18 00:15:04+00:00,Me
28615,6404397969,2024-09-18 00:15:02+00:00,Nah mannnn
28614,6652139576,2024-09-18 00:14:55+00:00,No one
28613,6404397969,2024-09-18 00:14:43+00:00,Guess who’s back
28612,7000718430,2024-09-11 00:46:57+00:00,Young blud
28611,7000718430,2024-09-11 00:46:55+00:00,Who are you
28606,6652139576,2024-09-10 20:01:07+00:00,I got accepted into school today!
28603,2134664859,2024-09-10 11:53:40+00:00,JUNE break of $5.80 should send it. As long as it holds $5 I think it may attempt to test $10
28602,1110306005,2024-09-09 14:20:04+00:00,$SMMT time
28601,1110306005,2024-09-07 01:41:47+00:00,[Amanda](tg://user?id=6075848860) I bought back into IVP yet again @85 cents
28600,6652139576,2024-09-06 20:11:08+00:00,It is sad the group just went away
28599,6652139576,2024-09-06 20:10:50+00:00,Doing better mentally
28598,6652139576,2024-09-06 20:10:47+00:00,I’ve been working a lot
28597,6075848860,2024-09-06 20:10:31+00:00,Kinda sad our group is dead.
28596,6075848860,2024-09-06 20:10:13+00:00,Been really busy with work and life. Haven’t traded at all. How is everyone?
28595,6075848860,2024-09-06 20:09:49+00:00,Hey Matthew
28594,2134664859,2024-09-04 16:48:33+00:00,"Watching JUNE here under $5. I get back in ""if"" it breaks that level"
28593,6652139576,2024-09-04 00:44:38+00:00,[Miles](tg://user?id=7000718430) [Amanda](tg://user?id=6075848860) @mazmazkeen
28592,6652139576,2024-09-04 00:44:15+00:00,How is everyone?
28591,6652139576,2024-09-04 00:44:11+00:00,I’ve come to realize I haven’t been here in a while
28589,1110306005,2024-08-28 11:50:41+00:00,VRAX is back alive with second distribution agreement for Europe and gulf region
28578,1110306005,2024-08-26 12:33:17+00:00,Rdhl
28577,5089734924,2024-08-26 05:13:51+00:00,Qqq  26th aug for put? Long? Wht you guys think?
28576,6661760423,2024-08-23 18:03:49+00:00,Following same pattern as meds
28575,6661760423,2024-08-23 18:03:40+00:00,In my opinion
28574,6661760423,2024-08-23 18:03:30+00:00,GHSI may double within the next week or two
28572,5574198147,2024-08-23 17:01:01+00:00,need to see if it dips more
28571,5574198147,2024-08-23 17:00:55+00:00,will join tnxp next week
28556,6661760423,2024-08-22 18:53:32+00:00,Gwav ...... shed alive shes aliiiive 😆
28554,1110306005,2024-08-22 15:21:37+00:00,Just when I thought of buying FFIE yesterday argh missed the train
28553,1110306005,2024-08-22 12:30:28+00:00,GDC going up and up not sure where’s the ceiling
28552,6661760423,2024-08-21 16:50:22+00:00,Lol u do that
28550,6075848860,2024-08-21 11:27:08+00:00,😂😂😂 thank you. I’ll use my remaining wishes wisely 💀
28549,6661760423,2024-08-20 21:36:57+00:00,2 wishes left 😆
